                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.93992,                0.57192,                 1.0988,                0.86399,                0.77775,                0.84224,                0.53578,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.93318,                0.56246,                 1.0875,                0.81377,                0.80879,                0.81218,                0.52329,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.92499,                0.55804,                 1.0813,                0.84837,                0.74491,                0.81924,                0.48938,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.93904,                0.56928,                   1.09,                0.82315,                0.78446,                 0.8364,                0.52684,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.91788,                0.55704,                 1.0827,                0.83218,                0.80229,                0.84497,                0.55291,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.92046,                0.55454,                 1.0801,                0.83338,                0.78546,                0.82565,                0.55157,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.90877,                0.55146,                 1.0771,                0.80117,                0.82141,                 0.8274,                0.52594,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.90634,                 0.5485,                 1.0742,                 0.8842,                 0.7527,                0.83664,                 0.5325,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.90506,                0.54497,                 1.0687,                0.80383,                0.79719,                0.83711,                0.54307,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                 0.8954,                0.54029,                 1.0708,                 0.8429,                0.78852,                0.83925,                0.55483,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.88879,                0.54115,                 1.0645,                 0.8029,                0.82431,                0.82315,                 0.5262,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.88623,                0.53427,                 1.0598,                0.83028,                0.77378,                0.83376,                0.53185,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.88075,                0.53666,                 1.0707,                0.85579,                0.76496,                0.83372,                0.53756,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.87486,                0.55203,                  1.066,                0.80284,                0.83933,                0.84003,                 0.5562,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.88009,                0.53143,                 1.0618,                0.85528,                0.76173,                0.83573,                0.54937,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.87364,                0.52657,                 1.0612,                0.79922,                0.80866,                0.83796,                0.53582,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.86529,                0.52285,                 1.0562,                0.83142,                0.80746,                0.83981,                0.53885,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                  0.853,                0.48073,                 1.0438,                0.83178,                0.79476,                0.83292,                0.54047,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.82997,                 0.4584,                 1.0336,                0.82229,                 0.8172,                0.83071,                 0.5378,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.79905,                0.43809,                 1.0081,                0.82366,                0.78481,                 0.8228,                0.54151,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.80024,                 0.4378,                 1.0138,                0.82398,                0.80195,                0.83062,                0.54449,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.79139,                0.44508,                 1.0137,                0.84555,                0.81331,                0.83859,                0.54151,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                 0.7904,                0.43199,                 1.0169,                0.84423,                0.80605,                0.83602,                0.53785,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.77758,                0.42897,                 1.0027,                0.82028,                0.83218,                0.83513,                0.53929,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.77403,                0.42124,                 0.9974,                0.80989,                0.80929,                0.83434,                0.54182,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.76481,                0.42399,                 1.0003,                0.82771,                0.82807,                0.83352,                0.53832,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.76316,                0.42277,                 1.0027,                0.81778,                 0.8241,                0.83261,                0.54669,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
